Statistic Label,Month,Year,COICOP,Commodity Group,UNIT,VALUE
EU HICP,August,1996,07,Transport,Base 2015=100,71.8
EU HICP,August,1996,08,Communications,Base 2015=100,124.6
EU HICP,August,1996,09,Recreation and culture,Base 2015=100,78.1
EU HICP,August,1996,10,Education,Base 2015=100,33.9
EU HICP,August,1996,11,Restaurants and hotels,Base 2015=100,57.8
EU HICP,August,1996,12,Miscellaneous goods and services,Base 2015=100,57.1
EU HICP,September,1996,00,All-items,Base 2015=100,69.7
EU HICP,September,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.2
EU HICP,September,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.6
EU HICP,September,1996,03,Clothing and footwear,Base 2015=100,237.3
EU HICP,September,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.8
EU HICP,September,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.9
EU HICP,September,1996,06,Health,Base 2015=100,47.3
EU HICP,September,1996,07,Transport,Base 2015=100,72.0
EU HICP,September,1996,08,Communications,Base 2015=100,124.3
EU HICP,September,1996,09,Recreation and culture,Base 2015=100,79.2
EU HICP,September,1996,10,Education,Base 2015=100,34.2
EU HICP,September,1996,11,Restaurants and hotels,Base 2015=100,58.1
EU HICP,September,1996,12,Miscellaneous goods and services,Base 2015=100,57.2
EU HICP,October,1996,00,All-items,Base 2015=100,69.6
EU HICP,October,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.0
EU HICP,October,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.6
EU HICP,October,1996,03,Clothing and footwear,Base 2015=100,237.8
EU HICP,October,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.9
EU HICP,October,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,115.4
EU HICP,October,1996,06,Health,Base 2015=100,47.5
EU HICP,October,1996,07,Transport,Base 2015=100,72.6
EU HICP,October,1996,08,Communications,Base 2015=100,124.3
EU HICP,October,1996,09,Recreation and culture,Base 2015=100,79.3
EU HICP,October,1996,10,Education,Base 2015=100,34.7
EU HICP,October,1996,11,Restaurants and hotels,Base 2015=100,58.2
EU HICP,October,1996,12,Miscellaneous goods and services,Base 2015=100,57.3
EU HICP,November,1996,00,All-items,Base 2015=100,69.7
EU HICP,November,1996,01,Food and non-alcoholic beverages,Base 2015=100,79.7
EU HICP,November,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.7
EU HICP,November,1996,03,Clothing and footwear,Base 2015=100,238.0
EU HICP,November,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,50.2
EU HICP,November,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,115.7
EU HICP,November,1996,06,Health,Base 2015=100,47.7
EU HICP,November,1996,07,Transport,Base 2015=100,73.9
EU HICP,November,1996,08,Communications,Base 2015=100,124.6
EU HICP,November,1996,09,Recreation and culture,Base 2015=100,78.6
EU HICP,November,1996,10,Education,Base 2015=100,35.5
EU HICP,November,1996,11,Restaurants and hotels,Base 2015=100,58.1
EU HICP,November,1996,12,Miscellaneous goods and services,Base 2015=100,57.5
EU HICP,December,1996,00,All-items,Base 2015=100,70.0
EU HICP,December,1996,01,Food and non-alcoholic beverages,Base 2015=100,79.7
EU HICP,December,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.7
EU HICP,December,1996,03,Clothing and footwear,Base 2015=100,244.2
EU HICP,December,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,50.2
EU HICP,December,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,117.1
EU HICP,December,1996,06,Health,Base 2015=100,47.7
EU HICP,December,1996,07,Transport,Base 2015=100,73.9
EU HICP,December,1996,08,Communications,Base 2015=100,124.6
EU HICP,December,1996,09,Recreation and culture,Base 2015=100,79.0
EU HICP,December,1996,10,Education,Base 2015=100,35.5
EU HICP,December,1996,11,Restaurants and hotels,Base 2015=100,58.1
EU HICP,December,1996,12,Miscellaneous goods and services,Base 2015=100,57.5
EU HICP,January,1997,00,All-items,Base 2015=100,69.3
EU HICP,January,1997,01,Food and non-alcoholic beverages,Base 2015=100,80.3
EU HICP,January,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.9
EU HICP,January,1997,03,Clothing and footwear,Base 2015=100,219.5
EU HICP,January,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,50.0
EU HICP,January,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,113.9
EU HICP,January,1997,06,Health,Base 2015=100,47.8
EU HICP,January,1997,07,Transport,Base 2015=100,73.2
EU HICP,January,1997,08,Communications,Base 2015=100,124.6
EU HICP,January,1997,09,Recreation and culture,Base 2015=100,78.6
EU HICP,January,1997,10,Education,Base 2015=100,35.5
EU HICP,January,1997,11,Restaurants and hotels,Base 2015=100,58.3
EU HICP,January,1997,12,Miscellaneous goods and services,Base 2015=100,57.6
EU HICP,February,1997,00,All-items,Base 2015=100,69.8
EU HICP,February,1997,01,Food and non-alcoholic beverages,Base 2015=100,80.1
EU HICP,February,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,February,1997,03,Clothing and footwear,Base 2015=100,225.9
EU HICP,February,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,50.1
EU HICP,February,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,115.5
EU HICP,February,1997,06,Health,Base 2015=100,47.8
EU HICP,February,1997,07,Transport,Base 2015=100,73.9
EU HICP,February,1997,08,Communications,Base 2015=100,124.5
EU HICP,February,1997,09,Recreation and culture,Base 2015=100,78.6
EU HICP,February,1997,10,Education,Base 2015=100,35.6
EU HICP,February,1997,11,Restaurants and hotels,Base 2015=100,58.4
EU HICP,February,1997,12,Miscellaneous goods and services,Base 2015=100,57.7
EU HICP,March,1997,00,All-items,Base 2015=100,69.8
EU HICP,March,1997,01,Food and non-alcoholic beverages,Base 2015=100,80.2
EU HICP,March,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,March,1997,03,Clothing and footwear,Base 2015=100,227.8
EU HICP,March,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.7
EU HICP,March,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,115.7
EU HICP,March,1997,06,Health,Base 2015=100,48.0
EU HICP,March,1997,07,Transport,Base 2015=100,74.0
EU HICP,March,1997,08,Communications,Base 2015=100,124.5
EU HICP,March,1997,09,Recreation and culture,Base 2015=100,78.6
EU HICP,March,1997,10,Education,Base 2015=100,35.6
EU HICP,March,1997,11,Restaurants and hotels,Base 2015=100,58.4
EU HICP,March,1997,12,Miscellaneous goods and services,Base 2015=100,58.0
EU HICP,April,1997,00,All-items,Base 2015=100,69.9
EU HICP,April,1997,01,Food and non-alcoholic beverages,Base 2015=100,80.6
EU HICP,April,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,April,1997,03,Clothing and footwear,Base 2015=100,228.3
EU HICP,April,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.5
EU HICP,April,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,115.7
EU HICP,April,1997,06,Health,Base 2015=100,48.3
EU HICP,April,1997,07,Transport,Base 2015=100,74.0
EU HICP,April,1997,08,Communications,Base 2015=100,124.5
EU HICP,April,1997,09,Recreation and culture,Base 2015=100,78.2
EU HICP,April,1997,10,Education,Base 2015=100,35.6
EU HICP,April,1997,11,Restaurants and hotels,Base 2015=100,58.6
EU HICP,April,1997,12,Miscellaneous goods and services,Base 2015=100,58.2
EU HICP,May,1997,00,All-items,Base 2015=100,69.9
EU HICP,May,1997,01,Food and non-alcoholic beverages,Base 2015=100,80.9
EU HICP,May,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,May,1997,03,Clothing and footwear,Base 2015=100,227.8
EU HICP,May,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.7
EU HICP,May,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.0
EU HICP,May,1997,06,Health,Base 2015=100,48.3
EU HICP,May,1997,07,Transport,Base 2015=100,73.9
EU HICP,May,1997,08,Communications,Base 2015=100,122.5
EU HICP,May,1997,09,Recreation and culture,Base 2015=100,78.3
EU HICP,May,1997,10,Education,Base 2015=100,35.7
EU HICP,May,1997,11,Restaurants and hotels,Base 2015=100,58.6
EU HICP,May,1997,12,Miscellaneous goods and services,Base 2015=100,58.3
EU HICP,June,1997,00,All-items,Base 2015=100,70.1
EU HICP,June,1997,01,Food and non-alcoholic beverages,Base 2015=100,81.5
EU HICP,June,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,June,1997,03,Clothing and footwear,Base 2015=100,226.6
EU HICP,June,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.8
EU HICP,June,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.2
EU HICP,June,1997,06,Health,Base 2015=100,48.3
EU HICP,June,1997,07,Transport,Base 2015=100,74.4
EU HICP,June,1997,08,Communications,Base 2015=100,122.5
EU HICP,June,1997,09,Recreation and culture,Base 2015=100,78.5
EU HICP,June,1997,10,Education,Base 2015=100,35.7
EU HICP,June,1997,11,Restaurants and hotels,Base 2015=100,58.7
EU HICP,June,1997,12,Miscellaneous goods and services,Base 2015=100,58.2
EU HICP,July,1997,00,All-items,Base 2015=100,70.0
EU HICP,July,1997,01,Food and non-alcoholic beverages,Base 2015=100,82.3
EU HICP,July,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,July,1997,03,Clothing and footwear,Base 2015=100,212.3
EU HICP,July,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.6
EU HICP,July,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.0
EU HICP,July,1997,06,Health,Base 2015=100,48.4
EU HICP,July,1997,07,Transport,Base 2015=100,74.4
EU HICP,July,1997,08,Communications,Base 2015=100,122.5
EU HICP,July,1997,09,Recreation and culture,Base 2015=100,78.6
EU HICP,July,1997,10,Education,Base 2015=100,35.7
EU HICP,July,1997,11,Restaurants and hotels,Base 2015=100,58.7
EU HICP,July,1997,12,Miscellaneous goods and services,Base 2015=100,58.3
EU HICP,August,1997,00,All-items,Base 2015=100,69.8
EU HICP,August,1997,01,Food and non-alcoholic beverages,Base 2015=100,81.7
EU HICP,August,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,August,1997,03,Clothing and footwear,Base 2015=100,211.9
EU HICP,August,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.1
EU HICP,August,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.5
EU HICP,August,1997,06,Health,Base 2015=100,48.5
EU HICP,August,1997,07,Transport,Base 2015=100,74.5
EU HICP,August,1997,08,Communications,Base 2015=100,122.5
EU HICP,August,1997,09,Recreation and culture,Base 2015=100,79.0
EU HICP,August,1997,10,Education,Base 2015=100,35.7
EU HICP,August,1997,11,Restaurants and hotels,Base 2015=100,58.8
EU HICP,August,1997,12,Miscellaneous goods and services,Base 2015=100,58.8
EU HICP,September,1997,00,All-items,Base 2015=100,70.1
EU HICP,September,1997,01,Food and non-alcoholic beverages,Base 2015=100,81.7
EU HICP,September,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,50.8
EU HICP,September,1997,03,Clothing and footwear,Base 2015=100,217.6
EU HICP,September,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.3
EU HICP,September,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,118.0
EU HICP,September,1997,06,Health,Base 2015=100,48.6
EU HICP,September,1997,07,Transport,Base 2015=100,75.2
EU HICP,September,1997,08,Communications,Base 2015=100,122.3
EU HICP,September,1997,09,Recreation and culture,Base 2015=100,79.1
EU HICP,September,1997,10,Education,Base 2015=100,35.7
EU HICP,September,1997,11,Restaurants and hotels,Base 2015=100,58.8
EU HICP,September,1997,12,Miscellaneous goods and services,Base 2015=100,58.7
EU HICP,October,1997,00,All-items,Base 2015=100,70.2
EU HICP,October,1997,01,Food and non-alcoholic beverages,Base 2015=100,81.3
EU HICP,October,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,51.0
EU HICP,October,1997,03,Clothing and footwear,Base 2015=100,218.1
EU HICP,October,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.3
EU HICP,October,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,118.1
EU HICP,October,1997,06,Health,Base 2015=100,48.9
EU HICP,October,1997,07,Transport,Base 2015=100,74.8
EU HICP,October,1997,08,Communications,Base 2015=100,122.3
EU HICP,October,1997,09,Recreation and culture,Base 2015=100,79.2
EU HICP,October,1997,10,Education,Base 2015=100,35.7
EU HICP,October,1997,11,Restaurants and hotels,Base 2015=100,59.5
EU HICP,October,1997,12,Miscellaneous goods and services,Base 2015=100,58.9
EU HICP,November,1997,00,All-items,Base 2015=100,70.4
EU HICP,November,1997,01,Food and non-alcoholic beverages,Base 2015=100,81.7
EU HICP,November,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,51.1
EU HICP,November,1997,03,Clothing and footwear,Base 2015=100,219.7
EU HICP,November,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.7
EU HICP,November,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,118.7
EU HICP,November,1997,06,Health,Base 2015=100,49.2
EU HICP,November,1997,07,Transport,Base 2015=100,74.7
EU HICP,November,1997,08,Communications,Base 2015=100,122.2
EU HICP,November,1997,09,Recreation and culture,Base 2015=100,79.3
EU HICP,November,1997,10,Education,Base 2015=100,36.6
EU HICP,November,1997,11,Restaurants and hotels,Base 2015=100,60.0
EU HICP,November,1997,12,Miscellaneous goods and services,Base 2015=100,59.1
EU HICP,December,1997,00,All-items,Base 2015=100,70.7
EU HICP,December,1997,01,Food and non-alcoholic beverages,Base 2015=100,82.1
EU HICP,December,1997,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,51.9
EU HICP,December,1997,03,Clothing and footwear,Base 2015=100,219.7
EU HICP,December,1997,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.7
EU HICP,December,1997,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,118.8
EU HICP,December,1997,06,Health,Base 2015=100,49.2
EU HICP,December,1997,07,Transport,Base 2015=100,74.8
EU HICP,December,1997,08,Communications,Base 2015=100,123.0
EU HICP,December,1997,09,Recreation and culture,Base 2015=100,79.3
EU HICP,December,1997,10,Education,Base 2015=100,36.6
EU HICP,December,1997,11,Restaurants and hotels,Base 2015=100,60.0
EU HICP,December,1997,12,Miscellaneous goods and services,Base 2015=100,59.3
EU HICP,January,1998,00,All-items,Base 2015=100,70.2
EU HICP,January,1998,01,Food and non-alcoholic beverages,Base 2015=100,82.1
EU HICP,January,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,52.2
EU HICP,January,1998,03,Clothing and footwear,Base 2015=100,199.5
EU HICP,January,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.8
EU HICP,January,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.8
EU HICP,January,1998,06,Health,Base 2015=100,49.4
EU HICP,January,1998,07,Transport,Base 2015=100,74.5
EU HICP,January,1998,08,Communications,Base 2015=100,118.5
EU HICP,January,1998,09,Recreation and culture,Base 2015=100,79.3
EU HICP,January,1998,10,Education,Base 2015=100,36.6
EU HICP,January,1998,11,Restaurants and hotels,Base 2015=100,60.1
EU HICP,January,1998,12,Miscellaneous goods and services,Base 2015=100,59.4
EU HICP,February,1998,00,All-items,Base 2015=100,70.5
EU HICP,February,1998,01,Food and non-alcoholic beverages,Base 2015=100,82.2
EU HICP,February,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,52.3
EU HICP,February,1998,03,Clothing and footwear,Base 2015=100,209.0
EU HICP,February,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.8
EU HICP,February,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,118.6
EU HICP,February,1998,06,Health,Base 2015=100,49.9
EU HICP,February,1998,07,Transport,Base 2015=100,74.4
EU HICP,February,1998,08,Communications,Base 2015=100,118.5
EU HICP,February,1998,09,Recreation and culture,Base 2015=100,79.6
EU HICP,February,1998,10,Education,Base 2015=100,36.6
EU HICP,February,1998,11,Restaurants and hotels,Base 2015=100,60.2
EU HICP,February,1998,12,Miscellaneous goods and services,Base 2015=100,59.6
EU HICP,March,1998,00,All-items,Base 2015=100,70.9
EU HICP,March,1998,01,Food and non-alcoholic beverages,Base 2015=100,82.7
EU HICP,March,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,52.4
EU HICP,March,1998,03,Clothing and footwear,Base 2015=100,213.1
EU HICP,March,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.8
EU HICP,March,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,119.9
EU HICP,March,1998,06,Health,Base 2015=100,50.4
EU HICP,March,1998,07,Transport,Base 2015=100,75.2
EU HICP,March,1998,08,Communications,Base 2015=100,118.5
EU HICP,March,1998,09,Recreation and culture,Base 2015=100,79.7
EU HICP,March,1998,10,Education,Base 2015=100,36.6
EU HICP,March,1998,11,Restaurants and hotels,Base 2015=100,60.3
EU HICP,March,1998,12,Miscellaneous goods and services,Base 2015=100,60.1
EU HICP,April,1998,00,All-items,Base 2015=100,71.3
EU HICP,April,1998,01,Food and non-alcoholic beverages,Base 2015=100,83.9
EU HICP,April,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,52.8
EU HICP,April,1998,03,Clothing and footwear,Base 2015=100,214.2
EU HICP,April,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.7
EU HICP,April,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,120.2
EU HICP,April,1998,06,Health,Base 2015=100,50.7
EU HICP,April,1998,07,Transport,Base 2015=100,75.1
EU HICP,April,1998,08,Communications,Base 2015=100,118.3
EU HICP,April,1998,09,Recreation and culture,Base 2015=100,80.1
EU HICP,April,1998,10,Education,Base 2015=100,36.6
EU HICP,April,1998,11,Restaurants and hotels,Base 2015=100,60.5
EU HICP,April,1998,12,Miscellaneous goods and services,Base 2015=100,60.5
EU HICP,May,1998,00,All-items,Base 2015=100,71.5
EU HICP,May,1998,01,Food and non-alcoholic beverages,Base 2015=100,84.9
EU HICP,May,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,52.8
EU HICP,May,1998,03,Clothing and footwear,Base 2015=100,215.0
EU HICP,May,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.9
EU HICP,May,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,120.7
EU HICP,May,1998,06,Health,Base 2015=100,51.0
EU HICP,May,1998,07,Transport,Base 2015=100,75.2
EU HICP,May,1998,08,Communications,Base 2015=100,118.3
EU HICP,May,1998,09,Recreation and culture,Base 2015=100,80.1
EU HICP,May,1998,10,Education,Base 2015=100,36.7
EU HICP,May,1998,11,Restaurants and hotels,Base 2015=100,60.7
EU HICP,May,1998,12,Miscellaneous goods and services,Base 2015=100,60.7
EU HICP,June,1998,00,All-items,Base 2015=100,71.9
EU HICP,June,1998,01,Food and non-alcoholic beverages,Base 2015=100,85.7
EU HICP,June,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,53.0
EU HICP,June,1998,03,Clothing and footwear,Base 2015=100,215.0
EU HICP,June,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.9
EU HICP,June,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,120.9
EU HICP,June,1998,06,Health,Base 2015=100,51.1
EU HICP,June,1998,07,Transport,Base 2015=100,75.2
EU HICP,June,1998,08,Communications,Base 2015=100,118.3
EU HICP,June,1998,09,Recreation and culture,Base 2015=100,80.4
EU HICP,June,1998,10,Education,Base 2015=100,36.7
EU HICP,June,1998,11,Restaurants and hotels,Base 2015=100,61.3
EU HICP,June,1998,12,Miscellaneous goods and services,Base 2015=100,60.8
EU HICP,July,1998,00,All-items,Base 2015=100,71.7
EU HICP,July,1998,01,Food and non-alcoholic beverages,Base 2015=100,86.3
EU HICP,July,1998,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,53.1
EU HICP,July,1998,03,Clothing and footwear,Base 2015=100,198.3
EU HICP,July,1998,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.8
EU HICP,July,1998,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,119.6
